139.60,223.10,97.50,121.30,122.30,206.80,248.40,124.90,138.80
137.20,215.00,98.70,119.80,122.30,206.00,230.90,127.10,148.60
171.90,237.50,165.40,178.70,180.20,211.30,218.80,188.40,193.80
230.90,316.20,232.50,244.10,242.60,275.40,287.20,241.80,246.30
138.20,228.50,104.30,127.80,136.30,180.32,197.69,135.50,152.80
217.98,363.04,159.21,215.19,242.83,268.52,241.00,254.81,259.81
146.35,178.38,143.37,131.47,112.53,174.88,237.42,159.09,139.61
156.05,239.70,153.09,122.03,163.29,214.88,257.90,131.99,143.68
144.26,228.85,94.38,150.41,161.68,230.49,245.46,131.77,167.71
199.79,334.97,155.06,171.77,180.00,285.42,390.13,228.48,196.55
224.87,413.82,237.90,239.52,196.74,281.50,240.11,260.05,249.21
164.48,277.51,181.86,175.20,183.80,249.91,300.10,165.34,168.69
226.18,292.11,154.16,198.33,231.63,300.55,280.79,188.79,226.65
243.37,362.14,197.22,252.87,199.09,284.89,305.20,227.56,293.14
98.91,171.04,73.47,105.36,107.13,121.97,94.41,80.90,100.81
141.74,211.48,138.72,120.11,120.96,162.58,155.18,158.19,160.94
125.20,219.59,121.47,114.42,129.16,172.98,176.90,132.77,112.82
108.13,147.34,106.29,108.70,97.94,125.41,112.12,110.29,131.57
152.44,196.80,169.32,126.93,116.60,170.39,277.91,145.21,161.90
120.57,182.28,94.52,101.43,131.33,188.98,209.57,125.85,143.65
138.78,194.07,114.83,143.19,153.12,151.50,167.25,127.98,171.29
126.66,174.20,133.78,135.44,102.45,195.38,142.77,132.15,135.34
128.80,227.12,99.30,113.81,125.15,194.80,230.38,129.38,123.04
148.48,171.76,136.42,128.12,150.79,209.78,254.59,116.47,158.72
126.58,234.25,86.02,121.78,111.80,135.06,144.92,144.27,136.02
149.58,203.49,113.97,131.03,157.73,174.96,252.75,136.47,151.80
141.99,221.01,106.35,136.29,158.27,217.12,225.76,156.06,133.96
120.19,173.97,96.68,131.13,107.98,186.25,163.85,109.43,152.59
140.34,201.71,89.58,119.39,123.30,166.92,242.30,134.96,157.41
226.03,409.38,233.26,242.00,249.23,259.40,359.51,257.50,264.19
