,Online,Greedy,Average,0,43.44,70.47,99.5,130.69,162.65,190.94,224.4,255.72,297.67
1,0,0,-417.83,0,45.26,67.89,90.52,113.15,135.78,158.41,181.04,203.68,226.31
1.1,43.44,45.26,-347.77,-417.83,-347.77,-312.73,-277.7,-242.67,-207.63,-172.6,-137.56,-102.53,-67.5
1.15,70.47,67.89,-312.73,,,,,,,,,,
1.2,99.5,90.52,-277.7,,,,,,,,,,
1.25,130.69,113.15,-242.67,,,,,,,,,,
1.3,162.65,135.78,-207.63,,,,,,,,,,
1.35,190.94,158.41,-172.6,,,,,,,,,,
1.4,224.4,181.04,-137.56,,,,,,,,,,
1.45,255.72,203.68,-102.53,,,,,,,,,,
1.5,297.67,226.31,-67.5,,,,,,,,,,
